speakerKana,speaker,title,affiliation,department,field,description,id
アンドウヤスシ,安藤靖,父さんな帝大下水で博士を取ろうと思うんだ,学際情報学府,文化・人間情報学コース,帝大マンホール蓋,東大には帝大時代からのマンホール蓋が多数ありますが、それらは全く研究が進んでいないどころか、研究対象になるとも考えられていません。これで博士を取ったら東大史に名を残せるぞと勢いでテーマを決めたものの…,speaker-安藤靖
ウメムラ ユウスケ,梅村悠介,遺伝子に名前をつけるということ,総合文化研究科,広域科学専攻,分子生物学,私は最近、ハエのある遺伝子に「Mulberry（桑）」と名付けました。なぜこの名前を選んだのか？どうすれば遺伝子に名前をつけられるのか？遺伝子が命名されるまでの裏側をお話しします。,speaker-梅村悠介
オカダ　ユウキ,岡田 裕貴,痩せていれば健康なのか？,理学系研究科,生物科学専攻,分子生物学,「痩せている＝健康」と思っていませんか？じつは体重だけに目を向けていると、見えていないことがあるかもしれません。体の中の働きや分子にも注目して、理学の視点から健康について考えてみましょう。,speaker-岡田裕貴
オカダマサナオ,岡田正直,戦前の日本外交史と「著作権」,人文社会系研究科,日本文化研究専攻（日本史学）,近代日本外交史,あらゆる作品にある「著作権」。開国と明治維新後、諸外国から著作権保護も要求されますが、国内から思わぬ反発が生まれます。著作権について外務省がいかなる折衝と交渉をしたのか、知られざる外交史をお話します。,speaker-岡田正直
カツマタリナ,勝間田里菜,「声」を測って「聞こえの障害」を支援する,工学系研究科,電気系工学専攻,音声情報処理,音声認識などの技術は生活を便利にするだけでなく、障害者支援にも使われています。自分の声が聞こえず発話に困難を抱える難聴者を支援するため、声の聞き取りにくさを客観的に測る手法についてお話しします。,speaker-勝間田里菜
カワヒトジュン,川人準,中世管理職：ビザンツ帝国での主教の活動,人文社会系研究科,欧米系文化研究専攻,中世西洋史・ビザンツ史,国や組織を動かすのは指導者だけではありません。中世ビザンツ/東ローマ帝国では、主教という聖職者がキリスト教会の活動を地域レベルで管轄していました。彼らの多岐にわたる活動を、事例を交えてご紹介します。,speaker-川人準
コバヤシ リョウタロウ,小林涼太郎,ことばの使用から意味を見る,工学系研究科,システム創成学専攻,金融情報学,語の「意味」とは何かを明らかにすることは難しいですが、語の使用に注目すれば、データ中の統計的な分布から意味の一側面を捉えられます。この発想が最先端のAIや言語処理研究とどうつながっているかを話します。,speaker-小林涼太郎
サイトウ　シュンイチ,齋藤駿一,やわらかい物質の「老化」,理学系研究科,物理学専攻,ソフトマター物理学,「老化」というと心身の衰えを思い浮かべますが、やわらかい物質の研究では「構造が頑丈になる過程」を指します。本発表では、およそ半年間コロイドの「老化」を待ち続けた実験を通して、その仕組みに迫ります。,speaker-齋藤駿一
ソゴウ ショウ,十河 翔,人生100年時代の「推し」と幸福論,学際情報学府,文化・人間情報学コース,メディア、ウェルビーイングメディア、文化・人間情報学,自分の「推し（好きなもの）」を言語化するとともに、他者の「推し」やその理由を知ることを通して、「推し」が社会や生活と、どのように紐づいているかを考える、その最初のキッカケを得ることとします。,speaker-十河翔
チバゲンタ,千葉元太,壊して理解する細胞の設計原理,総合文化研究科,広域科学専攻 相関基礎科学系,システム生物学,細胞の中では数万種もの分子が互いに連携し、生命活動を支えています。その一部を意図的に「壊す」ことで見えてくる、複雑なシステムの設計原理の美しさを紹介します。,speaker-千葉元太
